platform,press,keyword,comment,tokens,score
news,기타,김문수,"댓글 단 꼬락서니 하군! 한심한 사람들!,김문수 후보는 과거 운동권 시절 그 혹독한 고문을 받아 가면서도 동지이름을 불지않은 사람이다 유시민이 너의 입으로 말했고 존경한다고 했지? 이런분의 부인을 니가 감히 "" '설난영이 김문수 후보와의 결혼을 통해 사회적 신분 상승을 했고, 과분하게 대통령 후보자의 배우자가 됨으로써 제정신이 아니라는 것과 김문수 후보는 고령의 노인에 불과하다는 것"" 이런 망발을 해? 나쁜ㄴ 그리고 5,18때니가 뭘했다고 보상금 10억씩 받아 쳐 ㅁ나? 이해찬이 하구!! 한심한것 같으니라구! 문수씬 반납 했다","['댓글', '꼬락서니', '김문수', '후보', '과거', '운동', '시절', '고문', '받', '동지', '이름', '불', '유시민', '입', '존경', '부인', '설', '나', '영이', '김문수', '후보', '결혼', '사회', '신분', '상승', '대통령', '후보자', '배우자', '제정신', '김문수', '후보', '고령', '노인', '망발', '나쁘', '보상금', '받', '치', '이해찬', '문수', '반납']",0
news,기타,김문수,영화주인공이신데 훌륭하지 고귀하고 아름답고 이쁘고 직쏘같고,"['영화', '주인공', '훌륭하', '아름답', '이쁘', '직소']",0
news,기타,김문수,부부가 뒤에서 남까는것은 일등이더니 다른사람이 대놓고 까니 왜 불편하신가요?,"['부부', '뒤', '남', '까', '일등', '깔', '불편']",-2
news,기타,김문수,유작자님 발언도 약간의오해소지가 있지만 설여사의발언또한 매우 부적절했던거아닌가 싶네요.,"['유', '작자', '발언', '약간', '오해', '소지', '있', '설', '여사', '발언', '부적절하']",-1
news,기타,김문수,지가 김혜경 여사 비하한건 생각못하고 남이 지 욕하는건 못듣겠나보지? 니네가 좋아하는 내로남불이야,"['김혜경', '여사', '비하', '생각', '남', '욕하', '듣', '좋아하', '내로남불']",0
news,기타,김문수,"설난영이 노조위원장 출신인데 ""나는 노조의 노자도 몰라요"" 이게 말이냐 방구냐!","['나', '영이', '노조', '위원장', '출신', '노조', '노자', '모르', '방구']",0
news,기타,김문수,"김문수 저 양반 교도소에 있을때 유시민네 집안에서 영치금도 보내주고, 면회도 와줄정도로 각별했는데 기억이나 하려나??","['김문수', '양반', '교도소', '유시민', '집안', '영치금', '보내', '면회', '오', '정도', '각별', '기억']",0
news,기타,김문수,대한민국의 품격이있지 저런간판을 어디다가 내놓냐,"['대한민국', '품격', '있', '간판', '내놓']",1
news,기타,김문수,설난영... 훗훗 이제부터 게임을 시작하지..,"['설', '이제', '게임', '시작']",0
news,기타,김문수,이번엔 유시민이 잘못했네..설난영 하는짓이 왜저럴까 싶고..외모가 별로인데..왜 이쁜척을 할까 싶기도 하지만..그래도 선거때 그런말은 악역향을 미친다는걸 모르셨을까???,"['이번', '유시민', '설', '짓', '저러', '외모', '이쁘', '선거', '악역', '향', '미치', '모르']",0
news,기타,김문수,김문수가 감옥에 있을때 구명을 위해 유시민이 애썼다고하는데 은혜를 고발로 갚는구나!,"['김문수', '감옥', '유시민', '애쓰', '은혜', '고발', '갚']",1
