platform,press,keyword,comment
news,한겨레,이재명,"민주당이 고발 많이 한다고 따질게 아니지;; 고발당하는게 싫으면 말을 똑바로 해라. 없던 말, 행동을 왜곡해서 허위사실 유포하는건데 민주당이 바보도 아니고 당하고만 있어야함??"
news,한겨레,이재명,거북섬 웨이브파크 업적 자랑하던데 왜 고소하는거예요?
news,한겨레,이재명,본인이 했다고 자랑하는 영상이 버젓이 있는데 왜 이러시는지.. 수치심은 제 몫인가요.
news,한겨레,이재명,이준석은 ㅎㅎ맨날 허위사실만 알고 있냐!!! 팩트 체크좀해라!! 창피하다
news,한겨레,이재명,허위사실유포로 고발하려면 본인이 본인을 고발해야하는 거 아닌가?? 자기가 했다고 자랑해놓고선...
news,한겨레,이재명,저 텍스트를 읽고도 이준석 말이 맞다고 하는 애들은 국평오 아니면 출생지가 대구 경북ㅋㅋㅋ
news,한겨레,이재명,그말 한 사람을 쎄게 치면 이재명 뺨이 부풀어 오르겠지ㅋㅋㅋㅋㅋㅋ
news,한겨레,이재명,뭐가 허위에요..?
news,한겨레,이재명,뭐가 허위사실이야ㅋㅋㅋㅋㅋ 다 맞는말 했더구만ㅋㅋㅋㅋ 전국을 거북섬처럼 초토화 만들 리짜이밍 ㅋㅋㅋㅋㅋ
news,한겨레,이재명,민주당은 거북섬 특혜 비리 여부 특검하시오
news,한겨레,이재명,아니 민주당 놈들은 툭하면 고발한데 니네 사기꾼이나 고발 해봐라~~
news,한겨레,이재명,정치전에 사람부터 돼라 이준석후보
news,한겨레,이재명,펨코 실시간으로 보고 정치하는 수준이더만.갈라치기 혐오의 아이콘 꺼져라
news,한겨레,이재명,도대체!뭐가 허위사실 이란거지? 이재명이 지입가지고 지가 말한건데?
news,한겨레,이재명,준석이는 크게 될 인물이 아니다
news,한겨레,이재명,이 따위 현란한 언어 시비 마술사요 명태균 감염자인 홍매화 준석동자를 말 몇마디 잘못 했다고 고발할 가치가 있을까요? 대인배답게 아량을 베푸는 것도 좋을 듯 합니다.
news,한겨레,이재명,이차피 이재명 2찍 부들부들 아무리 선동해봐도 지지율 안떨어진다
news,한겨레,이재명,그나마 보수중에 좋게볼려했드니 (진심)갈수록별로네
news,한겨레,이재명,고발과 탄핵이 니덜 일상인데 뭘 놀랍지도 않는다 나라세금 함부로 사용하지 않는 김문수 파도파도 미담뿐인 김문수 소리질러 킹문수~~ 소리질러 킹문수~~ 킹문수~~
news,한겨레,이재명,팸코 정치인
news,한겨레,이재명,"더불어종합범죄당이 제일 잘하는것, 범죄자 잡범 죄명이를 위시하여 탄핵놀이, 고소, 고발,"
news,한겨레,이재명,박근혜 키드 -> 안철수 키드 -> 양두구육 -> 하버드개장수 -> 김문수와 단일화 앞두고 비호감 72% 어린 놈이 인생 행보가 저 따위냐
